Rank	Token	No space  (nsp)	MTW  identifiers	First			Second		
14-13	della								
14	di								
15	la								
16	Mandria	nsp							
17	.								
									
1	Per								
2	domare								
3	il								
4	rogo	nsp							
5	,								
6	i								
7	vigili								
8-9	del								
8	di								
9	il								
10	fuoco								
11	sono								
12	accorsi								
13	da								
14	Torino	nsp							
15	.								
									
1-2	Sul								
1	Su								
2	il								
3	posto								
4	sono								
5	intervenuti								
6	anche								
7	i								
8	carabinieri								
9-10	della								
9	di								
10	la								
11	compagnia								
12	di								
13	Venaria	nsp							
14	,								
15	che								
16	hanno								
17	compiuto								
18	accertamenti	nsp							
19	.								
									
1-3	Nell'								
1	In								
2	l	nsp							
3	'	nsp							
4	incidente								
5	non								
6	sono								
7	rimaste								
8	coinvolte								
9	persone	nsp							
10	.								
									
1	Corruzione	nsp							
2	.								
									
1	L	nsp							
2	'	nsp							
3	inchiesta								
4	Tapie								
5	arriva								
6	a								
7	Forlì	nsp							
8	.								
									
1	FORLÌ								
2	-								
3	L	nsp							
4	'	nsp							
5	inchiesta								
6	che								
7	coinvolge								
8	Bernard								
9	Tapie	nsp							
10	,								
11	l	nsp							
12	'	nsp							
13	ex								
14	presidente								
15-14	del								
15	di								
16	il								
17	Marsiglia								
18	Calcio	nsp							
19	,								
20	condannato								
21	lo								
22	scorso								
23	15								
24	maggio								
25	a								
26	un								
27	anno								
28	di								
29	carcere								
30	per								
31	corruzione	nsp							
32	,								
33	si								
34	allarga								
35	fino								
36	a								
37	Forlì	nsp							
38	.								
									
1	La								
2	gendarmeria								
3	francese	nsp							
4	,								
5	impegnata								
6	in								
7	indagini								
8-9	sul								
8	su								
9	il								
10	patrimonio								
11	di								
12	Tapie	nsp							
13	,								
14	ha								
15	identificato								
16	una								
17	ditta								
18	"	nsp							
19	fantasma	nsp							
20	"	nsp							
21	,								
22	la								
23	International								
24	Public								
25	Sport	nsp							
26	,								
27	con								
28	sede								
29	legale								
30	a								
31	Forlì	nsp							
32	,								
33	che								
34	avrebbe								
35	emesso								
36	fatture								
37	FALSE								
38	a								
39	favore								
40-41	della								
40	di								
41	la								
42	società								
43	sportiva								
44	Marsiglia								
45	Calcio								
46	per								
47	circa								
48	2								
49	miliardi								
50	di								
51	lire	nsp							
52	.								
									
1	Parte								
2	di								
3	questo								
4	denaro								
5	sarebbe								
6	stato								
7	utilizzato								
8	da								
9	Bernard								
10	Tapie								
11	per								
12	"	nsp							
13	comperare	nsp							
14	"								
15	alcune								
16	partite								
17-18	del								
17	di								
18	il								
19	campionato								
20	di								
21	calcio								
22	transalpino	nsp							
23	.								
									
1	È								
2	duro								
3-4	ammetterlo								
3	ammetter								
4	lo	nsp							
5	,								
6	ma								
7	qualcuno								
8	insostituibile								
9	c	nsp							
10	'	nsp							
11	è	nsp							
12	.								
									
1	Tutti								
2	gli								
3	esseri								
4	umani								
5	hanno								
6	capacità								
7	non								
8	sfruttate	nsp							
9	,								
10	non								
11	utilizzate	nsp							
12	.								
									
1	Il								
2	figlio								
3	di								
4	qualsiasi								
5	rozzo								
6	contadino	nsp							
7	,								
8	educato								
9	da								
10	ottimi								
11	maestri	nsp							
12	,								
13	laureato								
14	in								
15	una								
16	grande								
17	università	nsp							
18	,								
19	può								
20	diventare								
21	un								
22	ottimo								
23	medico	nsp							
24	,								
25	un								
26	bravo								
27	ingegnere	nsp							
28	,								
29	un								
30	buon								
31	giornalista	nsp							
32	.								
									
1	Una								
2	buona								
3	accademia								
4	può								
5-6	farne								
5	far								
6	ne								
7	un								
8	bravo								
9	pittore	nsp							
10	.								
									
1	Per								
2	questo								
3	sono								
4	ambiziosi								
5	e								
6	cercano								
7	di								
8	imparare	nsp							
9	.								
									
1	Per								
2	questo	nsp							
3	,								
4	altre								
5	volte								
6	sono								
7	tristi	nsp							
8	,								
9	perché								
10	si								
11	rendono								
12	conto								
13	che								
14	la								
15	vita								
16	è								
17	stata								
18	avara								
19	con								
20	loro	nsp							
21	.								
									
1	Per								
2	questo								
3	sono								
4	invidiosi								
5	quando								
6	vedono								
7	che								
8	qualcuno	nsp							
9	,								
10	che								
11	si								
12	trovava								
13-14	al								
13	a								
14	il								
15	loro								
16	stesso								
17	livello	nsp							
18	,								
19	li								
20	supera	nsp							
21	.								
									
1	Mi								
2	viene			1	LVC				
3	in			1					
4	mente			1					
5	una								
6	mia								
7	vecchia								
8	cameriera								
9	che	nsp							
10	,								
11	guardando								
12	i								
13	quadri								
14-15	dei								
14	di								
15	i								
16	maggiori								
17	artisti								
18	contemporanei	nsp							
19	,								
20	da								
21	Van								
22	Gogh								
23	a								
24	Chagall	nsp							
25	,								
26	a								
27	Modigliani	nsp							
28	,								
29	a								
30	Picasso	nsp							
31	,								
32	diceva								
33	che								
34	sarebbe								
35	stata								
36	capace								
37	di								
38-39	farli								
38	far								
39	li								
40	anche								
41	lei	nsp							
42	.								
									
1	In								
2	ogni								
3	caso								
4	che								
5	sua								
6	figlia								
7	dipingeva								
8	molto								
9	meglio	nsp							
10	.								
									
1	In								
2	università	nsp							
3	,								
4	ogni								
5	tanto								
6	appare								
7	uno								
8	studioso								
9	di								
10	genio	nsp							
11	.								
									
1	Che								
2	non								
3	è								
4	solo								
5	più								
6	bravo	nsp							
7	,								
8	più								
9	brillante	nsp							
10	,								
11	più								
12	abile								
13-14	degli								
13	di								
14	gli								
15	altri	nsp							
16	,								
17	ma								
18	ha								
19	anche								
20	una								
21	potenza								
22	di								
23	penetrazione								
24	maggiore								
25	e								
26	misteriosa	nsp							
27	.								
									
1	Come								
2	Pasteur	nsp							
3	,								
4	quando								
5	intuisce								
6	che								
7	le								
8	infezioni								
9	sono								
10	provocate								
11	da								
12	microorganismi								
13	invisibili	nsp							
14	.								
									
1	Ebbene	nsp							
2	,								
3	in								
4	questi								
5	casi	nsp							
6	,								
7	i								
8	colleghi								
9	dapprima								
10	sghignazzano								
11	poi	nsp							
12	,								
13	quando								
14	la								
15	scoperta								
16	è								
17	riconosciuta								
18	da								
19	tutti	nsp							
20	,								
21	si								
22	convincono								
23	che								
24	avrebbero								
25	benissimo								
26	potuto								
27-28	farla								
27	far								
28	la								
29	loro	nsp							
30	.								
									
1	Invece								
2	non								
3	è								
4	vero	nsp							
5	.								
									
1	Anche								
2-3	nelle								
2	in								
3	le								
4	organizzazioni	nsp							
5	,								
6	spesso	nsp							
7	,								
8	i								
9	collaboratori								
10	di								
11	un								
12	grande								
13	imprenditore								
14	sono								
15	convinti								
16	che								
17	saprebbero								
18	fare								
19	meglio								
20	di								
21	lui	nsp							
22	.								
									
1	Invece								
2	non								
3	è								
4	vero	nsp							
5	.								
									
1	Quando								
2	lui								
3	muore								
4	l	nsp							
5	'	nsp							
6	azienda								
7	sbanda								
8	paurosamente	nsp							
9	,								
10	va			1	LVC				
11	in			1					
12	rovina	nsp		1					
13	.								
									
1	Ma								
2	perché								
3	il								
4	creatore								
5-7	dell'								
5	di								
6	l	nsp							
7	'	nsp							
8	impero								
9	aveva								
10	doti								
11	che								
12	loro								
13	non								
14	hanno	nsp							
15	.								
									
1	Sapeva								
2	vedere								
3	le								
4	opportunità	nsp							
5	,								
6	scrutare								
7-8	negli								
7	in								
8	gli								
9	animi	nsp							
10	,								
11	convincere								
12	i								
13	dubbiosi	nsp							
14	,								
15	intuire								
16	i								
17	trabocchetti	nsp							
18	.								
									
1	Sapeva								
2	essere								
3	umile	nsp							
4	,								
5	imparare	nsp							
6	,								
7	ascoltare	nsp							
8	.								
									
1	Coglieva								
2	le								
3	tendenze								
4	collettive	nsp							
5	,								
6	i								
7	segnali								
8-9	del								
8	di								
9	il								
10	futuro	nsp							
11	.								
									
1	Loro								
2	no	nsp							
3	.								
									
1	Perfino								
2-3	nei								
2	in								
3	i								
4	movimenti								
5	politici	nsp							
6	,								
7	i								
8	luogotenenti								
9-10	del								
9	di								
10	il								
11	capo								
12	carismatico								
13	sono								
14	spesso								
15	convinti								
16	di								
17	essere								
18	come								
19	lui	nsp							
20	,								
21	di								
22	avere								
23	le								
24	sue								
25	stesse								
26	capacità	nsp							
27	,								
28	e								
29	pensano								
30	di								
31-32	poterlo								
31	poter								
32	lo								
33	sostituire	nsp							
34	.								
									
1	Invece								
2	nessuno								
3	può								
4	sostituire								
5	o								
6	abbattere								
7	il								
8	capo								
9	di								
10	un								
11	movimento	nsp							
12	.								
									
1	Senza								
2	di								
3	lui	nsp							
4	,								
5	loro								
6	non								
7	sono								
8	più								
9	niente	nsp							
10	.								
									
1	È								
2	connesso								
3-4	alla								
3	a								
4	la								
5	natura								
6	stessa								
7-8	della								
7	di								
8	la								
9	vita	nsp							
10	,								
11	in								
12	cui								
13	il								
14	mutamento								
15	avviene								
16	perché								
17	gli								
18	individui								
19	muoiono	nsp							
20	.								
									
1	Tutto								
2	va			1	VPC				
3	avanti			1					
4	lo								
5	stesso	nsp							
6	.								
									
1	Ma								
2	in								
3	quel								
4	singolo								
5	caso	nsp							
6	,								
7	per								
8	quella								
9	singola								
10	famiglia	nsp							
11	,								
12	città	nsp							
13	,								
14	nazione	nsp							
15	,								
16	che								
17	disastri	nsp							
18	,								
19	che								
20	catastrofe								
21	può								
22	provocare								
23	la								
24	morte								
25	di								
26	uno								
27	solo	nsp							
28	!								
									
1	Morto								
2	Alessandro								
3	Magno	nsp							
4	,								
5	il								
6	suo								
7	impero								
8	va			1	VPC				
9	in			1					
10	frantumi	nsp							
11	.								
									
1	Morto								
2	Lorenzo								
3	il								
4	Magnifico	nsp							
5	,								
6	incomincia								
7	la								
8	rovina								
9-11	dell'								
9	di								
10	l	nsp							
11	'	nsp							
12	Italia	nsp							
13	.								
									
1	Ma								
2	non								
3	è								
4	il								
5	caso								
6	di								
7	pensare								
8	solo								
9-10	ai								
9	a								
10	i								
11	grandi								
12	esempi								
13	storici	nsp							
14	.								
									
1	Anche								
2-3	nella								
2	in								
3	la								
4	nostra								
5	vita								
6	quotidiana								
7	ci								
8	sono								
9	delle								
10	persone								
11	da								
12	cui								
13	dipende								
14	la								
15	serenità								
16-17	della								
16	di								
17	la								
18	nostra								
19	famiglia	nsp							
20	,								
21	la								
22	prosperità								
23-24	della								
23	di								
24	la								
25	nostra								
26	organizzazione	nsp							
27	,								
28	la								
29	qualità								
30-31	della								
30	di								
31	la								
32	nostra								
33	vita	nsp							
34	.								
									
1	Ma								
2	noi								
3	non								
4	vogliamo								
5-6	ammetterlo								
5	ammetter								
6	lo	nsp							
7	.								
									
1	Non								
2	ci			1	ID/LVC				
3	rendiamo			1					
4	conto			1					
5-6	del								
5	di								
6	il								
7	lavoro								
8	psicologico	nsp							
9	,								
10-11	dei								
10	di								
11	i								
12	prodigi								
13	di								
14	equilibrio	nsp							
15	,								
16	di								
17	diplomazia								
18	che								
19	fanno								
20	per								
21	noi	nsp							
22	.								
									
1	Il								
2	finanziere								
3	ha								
4	svelato								
5-6	ai								
5	a								
6	i								
7	magistrati								
8	un								
9	intrigo								
10	internazionale	nsp							
11	.								
									
1	Beirut								
2	Ginevra								
3	Tripoli								
4-5	del								
4	di								
5	il								
6	1990	nsp							
7	.								
									
1	"	nsp							
2	Tangenti								
3	svizzere								
4-5	ai								
4	a								
5	i								
6	terroristi	nsp							
7	"	nsp							
8	.								
									
1	Fiorini	nsp							
2	:								
									
1	mi								
2	fecero								
3	pagare								
4	gli								
5	hezbollah								
6	per								
7	liberare								
8	due								
9	ostaggi								
10	in								
11	Libano	nsp							
12	.								
									
1	"	nsp							
2	Consegnai								
3	un								
4	milione								
5	e								
6	mezzo								
7	di								
8	franchi								
9-11	all'								
9	a								
10	l	nsp							
11	'	nsp							
12	esponente								
13-13	dei								
13	di								
14	i								
15	sequestratori	nsp							
16	"	nsp							
17	.								
									
1	MILANO								
2	-								
3	Ragion								
4	di								
5	Stato								
6	di								
7	rigore								
8	svizzero								
9	e								
10	tangenti								
11	in								
12	stile								
13	italiano	nsp							
14	.								
									
1	Florio								
2	Fiorini	nsp							
3	,								
4	il								
5	"	nsp							
6	lavandaio	nsp							
7	"								
8-10	dell'								
8	di								
9	l	nsp							
10	'	nsp							
11	alta								
12	finanza	nsp							
13	,								
14	ha								
15	dichiarato								
16-16	ai								
16	a								
17	i								
18	giudici								
19	di								
20	avere								
21	pagato								
22	i								
23	terroristi								
24	islamici								
25	per								
26	ottenere								
27	il								
28	rilascio								
29	di								
30	due								
31	cittadini								
32	elvetici								
33	rapiti								
34	in								
35	Libano	nsp							
36	.								
									
1	Scopo								
2-3	del								
2	di								
3	il								
4	versamento								
5	era								
6	quello								
7	di								
8	agevolare								
9	l	nsp							
10	'	nsp							
11	ingresso								
12-12	nella								
12	in								
13	la								
14	Confederazione								
15	di								
16	una								
17	società								
18	italo								
19	libica	nsp							
20	,								
21	la								
22	Gatoil	nsp							
23	,								
24	osteggiata								
25-25	dal								
25	da								
26	il								
27	governo								
28	di								
29	Berna	nsp							
30	.								
									
1	Si								
2	tratta								
3-4	della								
3	di								
4	la								
5	bustarella								
6	più								
7	inquietante								
8	scoperta								
9	durante								
10	le								
11	indagini								
12	di								
13	Mani								
14	pulite	nsp							
15	.								
									
1	Per								
2	due								
3	anni								
4	gli								
5	uomini								
6	di								
7	Fiorini								
8	si								
9	sono								
10	rifiutati								
11	di								
12	fornire								
13	informazioni								
14	su								
15	un								
16	conto								
17	battezzato								
18	Reprival	nsp							
19	.								
									
1-2	Al								
1	A								
2	il								
3	magistrato								
4	ripetevano	nsp							
5	:								
									
1	"	nsp							
2	Chi								
3	tocca								
4	quei								
5	soldi								
6	muore	nsp							
7	"	nsp							
8	.								
									
1	Neanche								
2	per								
3	il								
4	celebre								
5	Protezione								
6	erano								
7	state								
8	incontrate								
9	simili								
10	resistenze	nsp							
11	.								
									
1	E								
2	soltanto								
3-5	nell'								
3	in								
4	l	nsp							
5	'	nsp							
6	ultimo								
7	interrogatorio								
8	davanti								
9-9	al								
9	a								
10	il								
11	pubblico								
12	ministero								
13	Luigi								
14	Orsi	nsp							
15	,								
16	Fiorini								
17	ha								
18	svelato								
19	il								
20	mistero	nsp							
21	:								
									
1	"	nsp							
2	Da								
3	quel								
4	conto								
5	abbiamo								
6	consegnato								
7	un								
8	milione								
9	e								
10	mezzo								
11	di								
12	franchi								
13	svizzeri								
14-16	all'								
14	a								
15	l	nsp							
16	'	nsp							
17	esponente								
18-18	degli								
18	di								
19	gli								
20	hezbollah								
21	libanesi								
22	per								
23	la								
24	liberazione								
25	di								
26	due								
27	ostaggi	nsp							
28	,								
29	liberazione								
30	utile								
31	per								
32	acquistare								
33	la								
34	Gatoil	nsp							
35	"	nsp							
36	.								
									
1	L	nsp							
2	'	nsp							
3	intrigo								
4	internazionale								
5	si								
6	è								
7	svolto								
8	tra								
9	Beirut	nsp							
10	,								
11	Ginevra								
12	e								
13	Tripoli								
14-14	nel								
14	in								
15	il								
16	1990	nsp							
17	.								
									
1	Fiorini	nsp							
2	,								
3	ex								
4	direttore								
5	finanziario								
6-8	dell'								
6	di								
7	l	nsp							
8	'	nsp							
9	Eni	nsp							
10	,								
11	aveva								
12	ottimi								
13	rapporti								
14	con								
15	i								
16	più								
17	celebri								
18	magnati								
19	arabi								
20	e								
21	poteva								
22	vantare								
23	una								
24	collaborazione								
25	ventennale								
26	con								
27	il								
28	governo								
29	libico	nsp							
30	.								
									
1-2	Ai								
1	A								
2	i								
3	giudici								
4	ha								
5	descritto								
6	pure								
7	donazioni								
8	miliardarie								
9	ad								
10	alcuni								
11	ministri								
12	e								
13	a								
14	tale								
15	Taher								
16	Munir								
17	Bursham	nsp							
18	,								
19	definito								
20	"	nsp							
21	lobbista								
22	presso								
23	il								
24	parlamento								
25	di								
26	Tripoli	nsp							
27	"	nsp							
28	.								
									
1-2	Dai								
1	Da								
2	i								
3	suoi								
4	verbali								
5	si								
6	scopre								
7	che								
8-9	nel								
8	in								
9	il								
10	1992								
11	gli								
12	emissari								
13	di								
14	Gheddafi								
15	erano								
16	disposti								
17	a								
18	investire								
19	in								
20	Italia								
21	duemila								
22	miliardi								
23	per								
24	l	nsp							
25	'	nsp							
26	acquisto								
27-27	del								
27	di								
28	il								
29	gruppo								
30	alimentare								
31	pubblico								
32	Sme								
33	e								
34-34	della								
34	di								
35	la								
36	Federconsorzi	nsp							
37	.								
									
1	La								
2	trattativa								
3	non								
4	approdò								
5	a								
6	risultati	nsp							
7	,								
8	probabilmente								
9	a								
10	causa								
11-13	dell'								
11	di								
12	l	nsp							
13	'	nsp							
14	arresto								
15	di								
16	Fiorini								
17	a								
18	Ginevra								
19	e								
20-21	dell'								
20	di								
21	l	nsp							
22	'	nsp							
23	embargo								
24	Onu								
25	contro								
26	la								
27	Libia	nsp							
28	.								
									
1	I								
2	contatti								
3-4	nelle								
3	in								
4	le								
5	capitali								
6	arabe								
7	sono								
8	diventati								
9	preziosi								
10-11	nel								
10	in								
11	il								
12	1990	nsp							
13	,								
14	quando								
15	per								
16	concludere								
17	l	nsp							
18	'	nsp							
19	affare								
20	Gatoil								
21	Fiorini								
22	si								
23	è								
24	dovuto								
25	interessare								
26-26	della								
26	di								
27	la								
28	sorte								
29	di								
30	due								
31	funzionari								
32	svizzeri								
33-33	della								
33	di								
34	la								
35	Croce								
36	Rossa	nsp							
37	,								
38	Emmanuel								
39	Christen								
40	ed								
41	Elio								
42	Erriquez	nsp							
43	,								
44	rapiti								
45	il								
46	7								
47	ottobre								
48	1989								
49-49	alle								
49	a								
50	le								
51	porte								
52	di								
53	Sidone	nsp							
54	.								
									
1-3	All'								
1	A								
2	l	nsp							
3	'	nsp							
4	inizio								
5	il								
6	colpo								
7	venne								
8	attribuito								
9-9	agli								
9	a								
10	gli								
11	hezbollah								
12	filo								
13	iraniani	nsp							
14	,								
15	più								
16	tardi								
17	fu								
18	ipotizzata								
19	una								
20	partecipazione								
21-21	del								
21	di								
22	il								
23	gruppo								
24	di								
25	Abu								
26	Nidal	nsp							
27	,								
28	il								
29	più								
30	terribile								
31	terrorista								
32	palestinese	nsp							
33	.								
									
1	La								
2	Libia								
3	è								
4	stata								
5	più								
6	volte								
7	accusata								
8	di								
9	fornire								
10	basi								
11-12	alle								
11	a								
12	le								
13	squadre								
14	di								
15	Abu								
16	Nidal	nsp							
17	,								
18	ma								
19	in								
20	quell	nsp							
21	'	nsp							
22	occasione								
23	Tripoli								
24	fu								
25	la								
26	prima								
27	a								
28	denunciare								
29	il								
30	sequestro	nsp							
31	.								
									
1	E								
2-3	nel								
2	in								
3	il								
4	frattempo								
5	politici	nsp							
6	,								
7	ambasciatori								
8	e								
9	industriali								
10	discutevano								
11	di								
12	petrolio	nsp							
13	.								
									
1	Fino								
2	a								
3	un								
4	contratto								
5	che								
6	si								
7	intreccerà								
8	con								
9	il								
10	rapimento	nsp							
11	.								
									
1	"	nsp							
2	La								
3	Sasea								
4	-								
5	ha								
6	spiegato								
7	Fiorini								
8	durante								
9	una								
10-11	delle								
10	di								
11	le								
12	prime								
13	deposizioni								
14-15	nel								
14	in								
15	il								
16	penitenziario								
17	ginevrino								
18	di								
19	Champ								
20	Dollon								
21	-								
22	entrò								
23-24	nella								
23	in								
24	la								
25	joint								
26	venture								
27	con								
28	la								
29	compagnia								
30	petrolifera								
31	libica								
32-34	nell'								
32	in								
33	l	nsp							
34	'	nsp							
35	estate								
36	1990								
37	con								
38	un								
39	compito								
40	preciso	nsp							
41	:								
									
1	ricercare								
2	un								
3	partner								
4	elvetico								
5	di								
6	prestigio								
7	che								
8	consentisse								
9-10	ai								
9	a								
10	i								
11	libici								
12	di								
13	entrare								
14-15	nel								
14	in								
15	il								
16	mercato								
17	svizzero	nsp							
18	.								
									
1	La								
2	Migroil								
3	(	nsp							
4	controllata								
5-6	dal								
5	da								
6	il								
7	colosso								
8	Migros	nsp							
9	,								
10	ndr	nsp							
11	)								
12	era								
13	interessata								
14-16	all'								
14	a								
15	l	nsp							
16	'	nsp							
17	affare	nsp							
18	.								
									
1-2	Alla								
1	A								
2	la								
3	fine								
4	i								
5	libici								
6	sono								
7	comunque								
8	riusciti								
9	a								
10	realizzare								
11	il								
12	progetto								
13	senza								
14	bisogno								
15-16	della								
15	di								
16	la								
17	società								
18	con								
19	la								
20	Migroil								
21	perché								
22	con								
23	quest	nsp							
24	'	nsp							
25	ultima								
26	venne								
27	raggiunto								
28	un								
29	accordo								
30	diverso	nsp							
31	"	nsp							
32	.								
									
1	I								
2	due								
3	cittadini								
4	svizzeri								
5	furono								
6	liberati								
7	a								
8	Beirut								
9	poco								
10	dopo	nsp							
11	,								
12-13	nella								
12	in								
13	la								
14	metà								
15-17	dell'								
15	di								
16	l	nsp							
17	'	nsp							
18	agosto								
19	1990	nsp							
20	.								
									
1	Non								
2	venne								
3	mai								
4	chiarito								
5	quale								
6	formazione								
7	era								
8	stata								
9	responsabile								
10-11	del								
10	di								
11	il								
12	sequestro								
13	e								
14	chi								
15	intervenne								
16	in								
17	favore								
18-19	degli								
18	di								
19	gli								
20	ostaggi	nsp							
21	.								
									
1	Prima								
2	di								
3	svelare								
4	i								
5	retroscena								
6	di								
7	quel								
8	patto								
9	Fiorini								
10	ha								
11	atteso								
12	cinque								
13	anni	nsp							
14	.								
									
1	Lo								
2	ha								
3	fatto								
4	solo								
5-7	nell'								
5	in								
6	l	nsp							
7	'	nsp							
8	interrogatorio								
9-10	dell'								
9	di								
10	l	nsp							
11	'	nsp							
12	undici								
13	maggio								
14	scorso	nsp							
15	.								
									
1-2	Nel								
1	In								
2	il								
3	verbale								
4-5	del								
4	di								
5	il								
6	pm								
7	Luigi								
8	Orsi								
9	è								
10	riportata								
11	solo								
12	la								
13	sintesi								
14-15	della								
14	di								
15	la								
16	vicenda	nsp							
17	:								
									
1-2	alla								
1	a								
2	la								
3	nostra								
4	giustizia								
5	le								
6	tangenti								
7	arabe								
8	non								
9	interessano	nsp							
10	.								
									
1	E								
2	forse								
3	il								
4	finanziere								
5	toscano								
6	ha			1	LVC				
7	colto			1					
8	l	nsp		1					
9	'	nsp		1					
10	occasione			1					
11	per								
12	una								
13	piccola								
14	vendetta								
15-15	nei								
15	in								
16	i								
17	confronti								
18-18	degli								
18	di								
19	gli								
20	svizzeri								
21	che								
22	stavano								
23	decidendo								
24	la								
25	sua								
26	condanna	nsp							
27	.								
									
1-2	Alla								
1	A								
2	la								
3	fine								
4	di								
5	giugno								
6	infatti								
7	il								
8	tribunale								
9	di								
10	Ginevra								
11	gli								
12	ha								
13	inflitto								
14	sei								
15	anni								
16	per								
17	il								
18	crollo								
19-20	della								
19	di								
20	la								
21	Sasea	nsp							
22	,								
23	travolta								
24	da								
25	4								
26	mila								
27	miliardi								
28	di								
29	debiti	nsp							
30	.								
									
1	Ma								
2	la								
3	storia								
4-5	del								
4	di								
5	il								
6	conto								
7	Reprival								
8	riserva								
9	altri								
10	due								
11	racconti								
12	molto								
13	suggestivi	nsp							
14	.								
									
1	"	nsp							
2	Circa								
3	83								
4	mila								
5	franchi								
6	furono								
7	spesi								
8	per								
9	comprare								
10	da								
11	un								
12	prete								
13	brasiliano								
14	una								
15	emittente								
16	radiofonica	nsp							
17	.								
									
1	O								
2	meglio	nsp							
3	.								
									
1	I								
2	partner								
3	libici								
4	pensavano								
5	di								
6	risolvere								
7	i								
8	problemi								
9	di								
10	approvvigionamento								
11	alimentare								
12	acquistando								
13	una								
14	fazenda								
15	in								
16	Brasile	nsp							
17	,								
18	grande								
19	quanto								
20	mezza								
21	Italia	nsp							
22	.								
									
1	La								
2	regalìa								
3-4	al								
3	a								
4	il								
5	prete								
6	serviva								
7	per								
8	tenere			1	LVC				
9	buoni			1					
10	gli								
11	indios								
12	locali								
13	vicino								
14	a								
15	Bahia	nsp							
16	"	nsp							
17	.								
									
1	L	nsp							
2	'	nsp							
3	ultima								
4	puntata								
5	è								
6	tutta								
7	italiana	nsp							
8	,								
9	quasi								
10	una								
11	premessa								
12-12	al								
12	a								
13	il								
14	rientro								
15	di								
16	Fiorini								
17	annunciato								
18	per								
19	il								
20	prossimo								
21	mese	nsp							
22	.								
									
1	"	nsp							
2	Da								
3	quel								
4	conto								
5	destinammo								
6	200								
7	milioni								
8	a								
9	Casadei	nsp							
10	,								
11	segretario								
12	di								
13	De								
14	Michelis	nsp							
15	,								
16	e								
17	600								
18-19	al								
18	a								
19	il								
20	tesoriere								
21-22	del								
21	di								
22	il								
23	Psi	nsp							
24	,								
25	Balzamo	nsp							
26	.								
									
1	Ragione								
2	di								
3	entrambi								
4	i								
5	pagamenti								
6	fu								
7	una								
8	campagna								
9	di								
10	stampa								
11-13	dell'								
11	di								
12	l	nsp							
13	'	nsp							
14	Avanti								
15	in								
16	favore								
17-18	dell'								
17	di								
18	l	nsp							
19	'	nsp							
20	acquisizione								
21-20	della								
21	di								
22	la								
23	Metro								
24	Goldwin								
25	Mayer	nsp							
26	.								
									
1	Craxi								
2	scrisse								
3	un								
4	articolo								
5	di								
6	fondo								
7	in								
8	proposito	nsp							
9	.								
									
1	I								
2	soldi								
3	furono								
4	trasferiti								
5-6	dalla								
5	da								
6	la								
7	Svizzera								
8	su								
9	due								
10	libretti								
11-12	al								
11	a								
12	il								
13	portatore								
14	che								
15	Giancarlo								
16	Parretti								
17	consegnò								
18	a								
19	Roma	nsp							
20	"	nsp							
21	.								
									
1	In								
2	vista								
3-4	della								
3	di								
4	la								
5	conferenza								
6	Onu								
7	di								
8	Pechino	nsp							
9	:								
									
1	"	nsp							
2	È								
3	ora								
4	che								
5	il								
6	divario								
7	con								
8	l	nsp							
9	'	nsp							
10	uomo								
11	venga								
12	colmato	nsp							
13	"	nsp							
14	.								
									
1	Il								
2	Papa	nsp							
3	:								
									
1	"	nsp							
2	La								
3	cultura								
4	ha								
5	bisogno								
6-7	del								
6	di								
7	il								
8	genio								
9	femminile	nsp							
10	"	nsp							
11	.								
									
1	Quinzio	nsp							
2	:								
									
1	se								
2	l	nsp							
3	'	nsp							
4	esempio								
5	è								
6	la								
7	Montessori								
8	sono								
9	scettico	nsp							
10	.								
									
1	La								
2	Macciocchi	nsp							
3	:								
									
1	svolta								
2	storica								
3	contro								
4	i								
5	soliti								
6	tabù	nsp							
7	.								
									
1	MILANO								
2	-								
3	Si								
4	rallegrino								
5	scrittrici								
6	e								
7	scienziate	nsp							
8	,								
9	filosofe								
10	e								
11	musiciste	nsp							
12	:								
									
1	Lo								
2	ha								
3	promesso								
4	Wojtyla								
5	in								
6	persona	nsp							
7	,								
8	durante								
9	la								
10	riflessione								
11-13	dell'								
11	di								
12	l	nsp							
13	'	nsp							
14	"	nsp							
15	Angelus	nsp							
16	"	nsp							
17	,								
18	rivolta								
19-19	alla								
19	a								
20	la								
21	prossima								
22	conferenza								
23	Onu								
24	di								
25	Pechino								
26-26	sulla								
26	su								
27	la								
28	condizione								
29	femminile	nsp							
30	.								
									
1	Il								
2	Papa								
3	condanna								
4	la								
5	"	nsp							
6	sistematica								
7	emarginazione	nsp							
8	"								
9-11	dell'								
9	di								
10	l	nsp							
11	'	nsp							
12	altra								
13	metà								
14-14	del								
14	di								
15	il								
16	cielo								
17	in								
18	campo								
19	culturale	nsp							
20	,								
21	chiede								
22	"	nsp							
23	pari								
24	opportunità	nsp							
25	"								
26	per								
27	tutte	nsp							
28	,								
29	cita								
30	la								
31	pedagoga								
32	Montessori								
33	quale								
34	ideale								
35	portabandiera	nsp							
36	,								
37	e								
38	soprattutto								
39	esalta								
40	"	nsp							
41	l	nsp							
42	'	nsp							
43	ingresso								
44	sempre								
45	più								
46	qualificato								
47-46	delle								
47	di								
48	le								
49	donne								
50	non								
51	soltanto								
52	come								
53	fruitrici	nsp							
54	,								
55	ma								
56	anche								
57	come								
58	protagoniste	nsp							
59	"								
60	in								
61	campo								
62	intellettuale	nsp							
63	.								
									
