Rank	Token	No space  (nsp)	MTW  identifiers	First			Second				
12	στη										
13	συμπρωτεύουσα	nsp									
14	,										
15	θα										
16	γίνει										
17	συλλαλητήριο										
18	και										
19	αναμένεται										
20	να										
21	οριστεί										
22	η										
23	αντιπροσωπεία										
24	η										
25	οποία										
26	θα										
27	λάβει			1	ID/LVC						
28	μέρος			1							
29	στη					SEL					
30	συνάντηση										
31	με										
32	τον										
33	πρωθυπουργό										
34	-										
35	αν										
36	τελικά										
37	πραγματοποιηθεί	nsp									
38	.										
											
1	Εάν										
2	η										
3	Ευρώπη										
4	δεν										
5	είναι			1	ID						
6	σε			1							
7	θέση			1							
8	να										
9	προστατεύσει										
10	τα										
11	ίδια										
12	τα										
13	σύνορα										
14	της	nsp									
15	,										
16	τότε										
17	τίθεται			2	LVC						
18	σε			2							
19	αμφισβήτηση			2							
20	όλο										
21	το										
22	ευρωπαϊκό										
23	ιδεώδες										
											
1	Είμαι										
2	ήδη										
3	3										
4	χρόνια										
5	στην										
6	περιοχή	nsp									
7	,										
8	εκατοντάδες										
9	χιλιόμετρα										
10	μακριά										
11	από										
12	το										
13	σπίτι										
14	και										
15	δεν			1	ID						
16	βλέπω			1							
17	φως			1							
18	επιστροφής	nsp									
19	.										
											
1	Είναι										
2	80										
3	κιλά	nsp									
4	,										
5	αλλά										
6	κλέβει			1	ID						
7	καρδιές	nsp		1							
8	.										
											
1	Είναι										
2	αλήθεια										
3	ότι										
4	όταν										
5	σ	nsp		1	ID						
6	'			1							
7	την			1							
8	έδινε			1							
9	εγκατέλειπες										
10	τους										
11	θιάσους	nsp									
12	;										
											
1	Είχα			1	LVC						
2	την			1							
3	τιμή			1							
4	να										
5	λάβω			2	LVC						
6	την			2							
7	υποστήριξη			2							
8	παραγόντων										
9	μόλις										
10	άρχισε										
11	η										
12	διαδικασία	nsp									
13	»	nsp									
14	,										
15	δήλωσε										
16	η										
17	ίδια	nsp									
18	,										
19	επισημαίνοντας										
20	κυρίως										
21	τη										
22	Γαλλία	nsp									
23	,										
24	τη										
25	Βρετανία	nsp									
26	,										
27	τη										
28	Γερμανία										
29	και										
30	την										
31	Κίνα										
											
1	Εβδομήντα										
2	μέρη										
3	ανά										
4	τον										
5	κόσμο										
6	όπου										
7	πωλούνται										
8	αποκλειστικά										
9	προϊόντα										
10	της										
11	ελληνικής										
12	γης										
13	έφερε			1	ID						
14	στο			1							
15	φως	nsp		1							
16	,										
17	έπειτα										
18	από										
19	έρευνα	nsp									
20	,										
21	ο										
22	υφυπουργός										
23	Εξωτερικών										
24	Δημήτρης										
25	Μάρδας	nsp									
26	.										
											
1	Εκανε			1	LVC						
2	μάλιστα										
3	και										
4	δηλώσεις			1							
5	«	nsp									
6	μετανοίας	nsp									
7	»	nsp									
8	,										
9	όπως										
10	«	nsp									
11	.	nsp									
12	.	nsp									
13	.	nsp									
14	θέλω										
15	να										
16	δηλώσω										
17	ότι										
18	σχετικές										
19	αναρτήσεις	nsp									
20	,										
21	οι										
22	οποίες										
23	εκλήφθησαν										
24	ή										
25	ήταν										
26	προσβλητικές										
27	προς										
28	συγκεκριμένες										
29	ομάδες										
30	συμπολιτών										
31	μας	nsp									
32	,										
33	με										
34	βρίσκουν			2	ID/LVC						
35	κάθετα										
36	αντίθετο			2							
37	και										
38	με										
39	την										
40	παρούσα	nsp									
41	,										
42	ζητώ			3	LVC						
43	και										
44	προσωπικά										
45	συγγνώμη			3							
46	από										
47	όσους										
48	έχουν										
49	ενοχληθεί										
50	σχετικά	nsp									
51	,										
52	ενώ										
53	καταγγέλλω										
54	ρητά										
55	τον										
56	ρατσισμό	nsp									
57	,										
58	ομοφοβισμό										
59	και										
60	τον										
61	αντισημιτισμό	nsp									
62	.	nsp									
63	.	nsp									
64	.	nsp									
65	»	nsp									
66	.										
											
1	Εκεί										
2	όπου										
3	καθημερινά										
4	δίνουμε			1	LVC						
5	με										
6	τους										
7	μαθητές										
8	μας										
9	τον										
10	κοινό										
11	μας										
12	αγώνα			1							
13	για										
14	να										
15	κρατήσουμε										
16	όρθιο										
17	αυτό										
18	που										
19	λέγεται										
20	δημόσιο										
21	σχολείο	nsp									
22	.										
											
1	Εκτίμησε										
2	πως										
3	είναι			1	ID						
4	στο			1							
5	χέρι			1							
6	των										
7	Κύπριων										
8	να										
9	δουν										
10	ο										
11	ένας										
12	τον										
13	άλλο										
14	σαν										
15	κοινωνικούς										
16	εταίρους	nsp									
17	,										
18	ενώ										
19	αναφερόμενος										
20	στο										
21	σχέδιο										
22	Ανάν										
23	σημείωσε										
24	ότι										
25	η										
26	απόρριψή										
27	του										
28	από										
29	τους										
30	Ελληνοκύπριους										
31	είχε										
32	σαν										
33	αποτέλεσμα										
34	να										
35	ενταχθεί										
36	η										
37	Κύπρος										
38	διαιρεμένη										
39	στην										
40	ΕΕ	nsp									
41	.										
											
1	Εμείς										
2	διατυπώσαμε			1	LVC						
3	πρόταση			1							
4	που										
5	πιθανώς										
6	να										
7	μας										
8	φέρει			2	ID						
9	και										
10	σε			2							
11	δύσκολη			2							
12	θέση			2							
13	που										
14	λέει										
15	πολύ										
16	απλά										
17	ότι										
18	ο										
19	μόνος										
20	τρόπος										
21	και										
22	επιστημονικά										
23	να										
24	μειωθούν										
25	οι										
26	ροές										
27	είναι										
28	στην										
29	ακτή										
30	της										
31	Τουρκίας										
											
1	Ενόψει										
2	τριών										
3	κρίσιμων										
4	εκλογικών										
5	αναμετρήσεων										
6	σε										
7	κρατίδια										
8	τον										
9	Μάρτιο	nsp									
10	,										
11	η										
12	Μέρκελ										
13	βλέπει										
14	εξάλλου										
15	το										
16	συντηρητικό										
17	στρατόπεδο										
18	να										
19	χάνει			1	ID						
20	έδαφος	nsp		1							
21	.										
											
1	Ενώ										
2	Τούρκοι										
3	αστυνομικοί										
4	υποστηρίζουν										
5	ότι										
6	«	nsp									
7	όποιος										
8	κάνει										
9	τη										
10	δουλειά										
11	των										
12	διακινητών										
13	θα										
14	πιαστεί										
15	τώρα										
16	παίρνουμε			1	LVC						
17	αυστηρά										
18	μέτρα			1							
19	και										
20	το										
21	ξέρουν	nsp									
22	»	nsp									
23	,										
24	στην										
25	πραγματικότητα										
26	τα										
27	μέτρα										
28	είχαν			2	LVC						
29	επίδραση			2							
30	μόνο										
31	τις										
32	πρώτες										
33	ημέρες	nsp									
34	.										
											
1	Ενώ										
2	χθες	nsp									
3	,										
4	Τετάρτη	nsp									
5	,										
6	οι										
7	δανειστές										
8	δεν										
9	ήταν										
10	αρνητικοί										
11	ως										
12	προς										
13	αυτή										
14	την										
15	πρωτοβουλία	nsp									
16	,										
17	όταν										
18	ξεκίνησαν										
19	να										
20	το										
21	βάζουν			1	ID/LVC						
22	κάτω			1							
23	από			1							
24	το			1							
25	μικροσκόπιο			1							
26	ανακάλυψαν										
27	ότι										
28	υπάρχουν										
29	διατάξεις										
30	που										
31	έρχονται			2	LVC						
32	σε			2							
33	αντίθεση			2							
34	με					SEL					
35	τα										
36	όσα										
37	προβλέπονται										
38	στο										
39	μνημόνιο										
40	και										
41	επιβαρύνουν										
42	περαιτέρω										
43	τον										
44	προϋπολογισμό	nsp									
45	.										
											
1	Επίσης	nsp									
2	,										
3	ζήτησε										
4	τη										
5	συγκρότηση										
6	διαπαραταξιακής										
7	επιτροπής										
8	η										
9	οποία	nsp									
10	,										
11	όπως										
12	είπε	nsp									
13	,										
14	«	nsp									
15	θα										
16	λάβει			1	LVC						
17	αποφάσεις			1							
18	για					SEL					
19	άμεσες										
20	δραστικές										
21	λύσεις	nsp									
22	»										
23	σ	nsp									
24	’										
25	ότι										
26	αφορά										
27	την										
28	Αθήνα	nsp									
29	.										
											
1	Ζητάμε										
2	από										
3	την										
4	κυβέρνηση										
5	και										
6	το										
7	Kοινοβούλιο										
8	να										
9	κοιτάξουν										
10	κατάματα										
11	την										
12	πραγματικότητα										
13	και										
14	να										
15	εγκρίνουν										
16	όσο										
17	γίνεται										
18	πιο										
19	γρήγορα										
20	τoν										
21	νέο										
22	νόμο	nsp									
23	,										
24	ώστε										
25	οι										
26	διακρίσεις										
27	να										
28	μπορέσουν										
29	να										
30	γίνουν										
31	παρελθόν	nsp									
32	»										
33	γράφουν										
34	στην										
35	έκκλησή										
36	τους										
37	οι										
38	εμπνευστές										
39	των										
40	σχεδόν										
41	100										
42	διαδηλώσεων	nsp									
43	,										
44	με										
45	σύνθημα										
46	«	nsp									
47	ήρθε										
48	επιτέλους										
49	η										
50	ώρα										
51	να										
52	γίνουμε										
53	πολιτισμένοι	nsp									
54	»	nsp									
55	.										
											
1	Η										
2	58χρονη										
3	πρώην										
4	πρώτη										
5	κυρία										
6	της										
7	Ρωσίας										
8	Λουντμίλα										
9	Πούτινα										
10	φαίνεται										
11	ότι										
12	αποφάσισε										
13	να										
14	αφήσει			1	ID						
15	για										
16	τα										
17	καλά										
18	πίσω			1							
19	της			1							
20	την										
21	παλιά										
22	της										
23	ζωή										
24	στο										
25	Κρεμλίνο										
26	και										
27	να										
28	ανοίξει										
29	μια										
30	καινούργια										
31	σελίδα										
32	στα										
33	προσωπικά										
34	της	nsp									
35	,										
36	με										
37	νέο										
38	σύζυγο										
39	και										
40	νέο										
41	επώνυμο	nsp									
42	.										
											
1	Η										
2	Europol										
3	κρούει			1	ID						
4	τον			1							
5	κίνδυνο	nsp		1							
6	,										
7	καθώς										
8	εκ										
9	των										
10	περίπου										
11	270										
12	χιλιάδων										
13	παιδιών										
14	που										
15	έχουν										
16	φτάσει										
17	εδώ	nsp									
18	,										
19	τουλάχιστον										
20	10										
21	χιλιάδες										
22	αγνοούνται										
23	και										
24	κινδυνεύουν										
25	από										
26	τα										
27	συνδικάτα										
28	του										
29	εγκλήματος	nsp									
30	.										
											
1	Η										
2	Ελλάδα										
3	συγκλονίστηκε										
4	από										
5	το										
6	«	nsp									
7	λεφτά										
8	υπάρχουν	nsp									
9	»										
10	του										
11	Γιώργου										
12	και										
13	τον										
14	έβαλε										
15	στη										
16	θέση										
17	του										
18	Κώστα										
19	που										
20	είχε										
21	σπάσει			1	ID						
22	τα			1							
23	ταμεία	nsp		1							
24	.										
											
1	Η										
2	Ευρώπη										
3	έχει			1	LVC						
4	στη			1							
5	διάθεσή			1							
6	της			1							
7	μόνο										
8	δύο										
9	μήνες										
10	προκειμένου										
11	να										
12	θέσει			2	LVC						
13	υπό			2							
14	έλεγχο			2							
15	τη										
16	μεταναστευτική										
17	κρίση	nsp									
18	,										
19	γιατί										
20	σε										
21	διαφορετική										
22	περίπτωση										
23	η										
24	ζώνη										
25	Σένγκεν										
26	θα										
27	καταρρεύσει	nsp									
28	,										
29	προειδοποίησε										
30	σήμερα										
31	ο										
32	πρόεδρος										
33	του										
34	Ευρωπαϊκού										
35	Συμβουλίου										
36	Ντόναλντ										
37	Τουσκ	nsp									
38	.										
											
1	Η										
2	Νικολέτα										
3	Κοτσαηλίδου										
4	σε										
5	μία										
6	απ	nsp									
7	'	nsp									
8	τις										
9	σπάνιες										
10	συνεντεύξεις										
11	της										
12	μου										
13	άνοιξε			1	ID						
14	την			1							
15	καρδιά			1							
16	της	nsp		1							
17	.										
											
1	Η										
2	Πρώτη										
3	Κόρη										
4	γνώρισε										
5	την										
6	Ντάναμ										
7	σε										
8	δείπνο										
9	στον										
10	Λευκό										
11	Οίκο										
12	και										
13	εξασφάλισε										
14	τη										
15	θέση										
16	χάρη										
17	στην										
18	καλή										
19	εντύπωση			1	LVC						
20	που										
21	έκανε			1							
22	στη					SEL					
23	δημιουργό										
24	της										
25	εκπομπής	nsp									
26	.										
											
1	Η										
2	ανατροπή										
3	στο										
4	πρόγραμμά										
5	της										
6	ήταν										
7	το										
8	αποτέλεσμα										
9	ενός										
10	επώδυνου										
11	συμβιβασμού										
12	εν										
13	μέσω										
14	ασφυκτικών										
15	πιέσεων	nsp									
16	,										
17	προκειμένου										
18	η										
19	χώρα										
20	να										
21	σταθεί			1	ID						
22	στα			1							
23	πόδια			1							
24	της	nsp		1							
25	.										
											
1	Η										
2	απόφαση										
3	του										
4	ΤΑΙΠΕΔ										
5	να										
6	κάνει			1	LVC						
7	δεκτή			1							
8	την										
9	προσφορά										
10	της										
11	Cosco										
12	Group										
13	βάζει			2	LVC						
14	τέλος			2							
15	στη					SEL					
16	διαγωνιστική										
17	διαδικασία										
18	που										
19	ξεκίνησε										
20	στις										
21	5										
22	Μαρτίου										
23	του										
24	2014										
25	και										
26	ανοίγει			3	ID						
27	τον			3							
28	δρόμο			3							
29	για					SEL					
30	τη										
31	διαδικασία										
32	υπογραφής										
33	και										
34	κύρωσης										
35	των										
36	συμβατικών										
37	κειμένων	nsp									
38	.										
											
1	Η										
2	γυναίκα										
3	έβαλε			1	LVC						
4	τις			1							
5	φωνές			1							
6	και										
7	αμέσως										
8	έτρεξαν										
9	στον										
10	θάλαμο										
11	η										
12	μητέρα										
13	της										
14	22χρονης	nsp									
15	,										
16	μία										
17	νοσοκόμα										
18	και										
19	δύο										
20	αναισθησιολόγοι	nsp									
21	,										
22	οι										
23	οποίοι										
24	ακινητοποίησαν										
25	τον										
26	νοσηλευτή										
27	και										
28	ειδοποίησαν										
29	την										
30	Αστυνομία	nsp									
31	,										
32	άνδρες										
33	της										
34	οποίας										
35	τον										
36	συνέλαβαν	nsp									
37	.										
											
1	Η										
2	δήμαρχος										
3	της										
4	Ουάσιγκτον										
5	Μίριελ										
6	Μπάουζερ										
7	και										
8	ο										
9	δήμαρχος										
10	της										
11	Νέας										
12	Υόρκης										
13	Μπιλ										
14	ντε										
15	Μπλάζιο										
16	απηύθυναν			1	LVC						
17	έκκληση			1							
18	στους					SEL					
19	οδηγούς										
20	να										
21	μην										
22	κυκλοφορούν										
23	στους										
24	δρόμους										
25	λόγω										
26	των										
27	επικίνδυνων										
28	συνθηκών	nsp									
29	.										
											
1	Η										
2	θερμοκρασία										
3	θα										
4	σημειώσει			1	LVC						
5	μικρή										
6	άνοδο			1							
7	από										
8	την										
9	ερχόμενη										
10	Τρίτη	nsp									
11	.										
											
1	Η										
2	κυβέρνηση										
3	προσπαθεί										
4	να										
5	αλλάξει			1	LVC						
6	το			1							
7	κλίμα	nsp		1							
8	,										
9	αναφέροντας										
10	ως										
11	επιτυχία										
12	τα										
13	μέτρα			2	LVC						
14	που	nsp									
15	.	nsp									
16	.	nsp									
17	.										
18	δεν										
19	ελήφθησαν			2							
20	για										
21	τους										
22	αγρότες	nsp									
23	.										
											
1	Η										
2	κυβέρνηση										
3	του										
4	Ντέιβιντ										
5	Κάμερον										
6	πιέζει										
7	για										
8	σημαντικές										
9	μεταρρυθμίσεις										
10	εντός										
11	της										
12	Ε	nsp									
13	.	nsp									
14	Ε	nsp									
15	.										
16	και	nsp									
17	,										
18	όταν										
19	επιτευχθεί										
20	συμφωνία	nsp									
21	,										
22	με										
23	δημοψήφισμα										
24	θα										
25	θέσει			1	LVC						
26	σε			1							
27	κίνδυνο			1							
28	όχι										
29	μόνο										
30	όσα										
31	πέτυχε										
32	αλλά										
33	και										
34	την										
35	ίδια										
36	τη										
37	θέση										
38	της										
39	χώρας										
40	του										
41	στην										
42	Ένωση	nsp									
43	.										
											
1	Η										
2	κυνική										
3	ομολογία										
4	του										
5	συζύγου										
6	που										
7	μέχρι										
8	χθές										
9	έπαιζε			1	ID						
10	θέατρο	nsp		1							
11	.										
											
1	Η										
2	μικρή										
3	κόρη										
4	του										
5	MrCurmudgeon										
6	στο										
7	YouTube										
8	ξεσπά			1	LVC						
9	σε			1							
10	γέλια			1							
11	κάθε										
12	φορά										
13	που										
14	ο										
15	μπαμπάς										
16	μιλά										
17	για										
18	το										
19	χιόνι	nsp									
20	.										
											
1	Η										
2	σημαντικότερη										
3	συμβουλή			1	LVC						
4	που										
5	της										
6	έδωσα			1							
7	ήταν										
8	να										
9	μην										
10	πάρει			2	LVC						
11	κάποια										
12	απόφαση			2							
13	υπό										
14	καθεστώς										
15	άγχους										
16	και										
17	να										
18	μην										
19	αναλώσει										
20	όλες										
21	τις										
22	προσπάθειές										
23	της										
24	για										
25	να										
26	γίνει										
27	δεκτή										
28	σε										
29	ένα										
30	συγκεκριμένο										
31	πανεπιστήμιο	nsp									
32	.										
											
1	Η										
2	τριπλή										
3	βομβιστική										
4	επίθεση										
5	στην										
6	πρωτεύουσα										
7	της										
8	Συρίας										
9	την										
10	ευθύνη										
11	της										
12	οποίας										
13	ανέλαβε										
14	το										
15	Ισλαμικό										
16	κράτος	nsp									
17	,										
18	προκάλεσε										
19	τον										
20	θάνατο										
21	περίπου										
22	50										
23	ανθρώπων										
24	και										
25	έριξε			1	ID						
26	βαριά										
27	σκιά			1							
28	στο					SEL					
29	ήδη										
30	δύσκολο										
31	ξεκίνημα										
32	των										
33	έμμεσων										
34	συνομιλιών										
35	για										
36	ειρήνευση										
37	στη										
38	χώρα										
39	που										
40	άρχισαν										
41	στην										
42	Ελβετία	nsp									
43	.										
											
1	Η										
2	φτήνια	nsp									
3	.	nsp									
4	.	nsp									
5	.										
6	βάζει			1	ID						
7	φωτιά			1							
8	στις					SEL					
9	αγορές	nsp									
10	!										
											
1	Θέλουμε										
2	να										
3	τραβήξουμε			1	LVC/_						
4	την			1							
5	προσοχή			1							
6	στα					SEL/_					
7	προβλήματα										
8	των										
9	προσφύγων	nsp									
10	.										
											
1	Θα										
2	δείτε										
3	ότι										
4	έχουν			1	LVC						
5	απόλυτη										
6	σχέση			1							
7	με					SEL/_					
8	τη										
9	σύγχρονη										
10	εποχή										
11	που										
12	ζούμε										
13	και										
14	την										
15	προσωπική										
16	μας										
17	ζωή	nsp									
18	.										
											
1	Θα										
2	μπορέσει	nsp									
3	,										
4	όμως	nsp									
5	,										
6	να										
7	τα			1	ID						
8	βγάλει			1							
9	πέρα			1							
10	πείθοντας										
11	τις										
12	κοινωνικές										
13	ομάδες										
14	που										
15	έχουν										
16	εξεγερθεί										
17	πως										
18	κάποιες										
19	περικοπές										
20	και										
21	μεταρρυθμίσεις										
22	είναι										
23	απαραίτητες	nsp									
24	;										
											
1	Κάθε										
2	Οδικός										
3	Χάρτης										
4	Εξέλιξης										
5	της										
6	Τεχνολογίας										
7	(	nsp									
8	στα										
9	αγγλικά										
10	Future										
11	Technology										
12	Roadmap										
13	ή										
14	συντομότερα										
15	FTR	nsp									
16	)										
17	αποτελεί										
18	ένα										
19	αποτελεσματικό										
20	εργαλείο										
21	για										
22	τη										
23	λήψη										
24	στρατηγικών										
25	αποφάσεων										
26	σε										
27	τομείς										
28	έρευνας										
29	και										
30	ανάπτυξης	nsp									
31	,										
32	επιστήμης										
33	και										
34	τεχνολογίας										
35	σε										
36	επίπεδο										
37	εκπαιδευτικού										
38	ή										
39	ερευνητικού										
40	ιδρύματος	nsp									
41	,										
42	φέρνοντας										
43	κοντά										
44	όλους										
45	τους										
46	εμπλεκόμενους										
47	και										
48	καθιστώντας										
49	τους										
50	συνδιαμορφωτές										
51	οραμάτων										
52	και										
53	στόχων										
54	και										
55	κοινωνούς										
56	αυτών										
57	των										
58	στρατηγικών										
59	αποφάσεων										
60	και										
61	των										
62	βημάτων										
63	που										
64	πρέπει										
65	να										
66	γίνουν										
67	για										
68	την										
69	επιτυχή										
70	ολοκλήρωσή										
71	τους	nsp									
72	.										
											
1	Κάνοντας			1	LVC						
2	λόγο			1							
3	για					SEL					
4	«	nsp									
5	αντιδραστικούς										
6	κύκλους										
7	της										
8	Ευρώπης	nsp									
9	»										
10	σημείωσε	nsp									
11	,										
12	πως										
13	«	nsp									
14	ένα										
15	χρόνο										
16	μετά										
17	είμαστε										
18	περήφανοι										
19	που										
20	δώσαμε			2	LVC						
21	αυτές										
22	τις										
23	μάχες			2							
24	που										
25	δώσαμε			3	ID						
26	ανάσα			3							
27	αξιοπρέπειας										
28	και										
29	αγώνα										
30	συγκρουστήκαμε										
31	σε										
32	ένα										
33	κατεστημένο										
34	στην										
35	Ευρώπη										
36	που										
37	επιμένει										
38	σε										
39	συνταγές										
40	λιτότητας										
41	κι										
42	εκείνους										
43	που										
44	λένε										
45	ότι										
46	‘	nsp									
47	δεν										
48	φταίνε										
49	οι										
50	συνταγές	nsp									
51	,										
52	αλλά										
53	αυτοί										
54	δεν										
55	τις										
56	εφαρμόζουν										
57	καλά	nsp									
58	»	nsp									
59	.										
											
1	Κάνω			1	ID/LVC						
2	μια										
3	μικρή										
4	παρένθεση			1							
5	για										
6	να										
7	σας										
8	αφηγηθώ										
9	μια										
10	ενδιαφέρουσα										
11	ιστορία	nsp									
12	,										
13	η										
14	οποία										
15	είναι										
16	γνωστή										
17	σε										
18	πολύ										
19	λίγους										
20	ανθρώπους	nsp									
21	.										
											
1	Και										
2	αυτό										
3	επειδή										
4	οι										
5	αγρότες										
6	δεν										
7	φαίνεται										
8	πως										
9	θα			1	ID						
10	ρίξουν			1							
11	νερό			1							
12	στο			1							
13	κρασί			1							
14	τους	nsp		1							
15	,										
16	εμποδίζοντας										
17	ακόμα										
18	και										
19	βουλευτές										
20	να										
21	διαπιστώσουν										
22	ιδίοις										
23	όμμασι										
24	την										
25	κατάσταση										
26	που										
27	επικρατεί										
28	στα										
29	μπλόκα	nsp									
30	.										
											
1	Και										
2	είτε										
3	να										
4	τοποθετούν			1	SENT						
5	ψηλά			1							
6	τον			1							
7	πήχυ	nsp		1							
8	,										
9	είτε										
10	να										
11	σκάβουν			2	SENT						
12	τον			2							
13	λάκκο			2							
14	του										
15	αντιπάλου										
16	τους										
17	και										
18	στην										
19	πορεία										
20	να										
21	πέφτουν										
22	μέσα										
23	οι										
24	ίδιοι	nsp									
25	.										
											
1	Και										
2	εκεί										
3	που										
4	είχαμε										
5	αποκλείσει										
6	το										
7	ενδεχόμενο										
8	να										
9	υπάρχουν										
10	εξωγήινοι										
11	στο										
12	μυστηριώδες										
13	άστρο										
14	KIC										
15	8462852	nsp									
16	,										
17	οι										
18	επιστήμονες										
19	ήρθαν										
20	να										
21	ανατρέψουν										
22	τη										
23	θεωρία										
24	η										
25	οποία										
26	εξηγούσε										
27	τα										
28	περίεργα										
29	που										
30	κατέγραφε										
31	το										
32	τηλεσκόπιο										
33	Κέπλερ	nsp									
34	,										
35	και										
36	έφεραν			1	ID						
37	ξανά										
38	στο			1							
39	προσκήνιο			1							
40	την										
41	πιθανότητα										
42	να										
43	μην										
44	είμαστε										
45	μόνοι										
46	μας										
47	στο										
48	Σύμπαν	nsp									
49	.										
											
1	Και										
2	ενώ										
3	τα										
4	σχόλια										
5	οργής										
6	και										
7	αγανάκτησης										
8	στην										
9	ιστοσελίδα										
10	δίνουν			1	OTH						
11	και			1							
12	παίρνουν	nsp		1							
13	,										
14	αίσθηση			2	ID						
15	προκάλεσε			2							
16	μια										
17	παλιότερη										
18	ανάρτηση										
19	του										
20	πατριού										
21	(	nsp									
22	ο										
23	οποίος										
24	έχει										
25	ως										
26	εικόνα										
27	στο										
28	facebook										
29	τον										
30	εαυτό										
31	του										
32	να										
33	ποζάρει										
34	χαμογελαστός										
35	πάνω										
36	σε										
37	μία										
38	μηχανή										
39	μεγάλου										
40	κυβισμού	nsp									
41	)										
42	με										
43	ένα										
44	μακάβριο										
45	ανέκδοτο										
46	και										
47	τίτλο										
48	το										
49	«	nsp									
50	πτώμα	nsp									
51	»	nsp									
52	!										
											
1	Και										
2	πιο										
3	κάτω										
4	κάνει			1	LVC						
5	το										
6	καίριο										
7	ερώτημα	nsp		1							
8	,										
9	αυτό										
10	που										
11	απασχολεί										
12	πολλούς										
13	και										
14	έχει										
15	επίσης										
16	εκφραστεί										
17	δημόσια										
18	με										
19	πολλούς										
20	τρόπους										
21	από										
22	τότε										
23	που										
24	βγήκε										
25	το										
26	πρώτο										
27	δημοσίευμα										
28	κατά										
29	του										
30	Γιώργου										
31	Λούκου	nsp									
32	.										
											
1	Κανείς										
2	από										
3	όσους										
4	έσπασαν			1	ID						
5	πλάκα			1							
6	εις					SEL					
7	βάρος					SEL/_					
8	του										
9	δεν										
10	είχε										
11	πιστέψει										
12	ότι										
13	ο										
14	διάκοσμος										
15	του										
16	διαμερίσματός										
17	του										
18	ήταν										
19	χρυσός	nsp									
20	.										
											
1	Κατά										
2	τον										
3	Ντράγκι	nsp									
4	,										
5	η										
6	ΕΚΤ										
7	δεν										
8	συζήτησε										
9	ποια										
10	συγκεκριμένα										
11	μέτρα			1	LVC						
12	θα										
13	μπορούσε										
14	να										
15	λάβει			1							
16	στις										
17	10										
18	Μαρτίου	nsp									
19	,										
20	εάν										
21	χρειαστεί	nsp									
22	.										
											
1	Κοριτσάκι										
2	ξεραίνεται			1	ID/LVC						
3	στα			1							
4	γέλια			1							
5	όταν										
6	μαθαίνει										
7	τι										
8	είναι										
9	το										
10	χιόνι	nsp									
11	.										
											
1	Κορυφώνεται										
2	η										
3	αντιπαράθεση										
4	για										
5	το										
6	ασφαλιστικό	nsp									
7	,										
8	καθώς										
9	σήμερα										
10	στη										
11	Βουλή	nsp									
12	,										
13	κυβέρνηση										
14	και										
15	αντιπολίτευση										
16	«	nsp									
17	θα										
18	διασταυρώσουν			1	ID						
19	τα			1							
20	ξίφη			1							
21	τους	nsp		1							
22	»	nsp									
23	,										
24	ενώ										
25	οι										
26	αγρότες										
27	θα										
28	λάβουν			2	LVC						
29	καθοριστικές										
30	αποφάσεις			2							
31	για										
32	τον										
33	τρόπο										
34	με										
35	τον										
36	οποίο										
37	θα										
38	κλιμακώσουν										
39	τις										
40	αντιδράσεις										
41	τους										
42	στο										
43	επόμενο										
44	διάστημα	nsp									
45	.										
											
1	Λαμβάνοντας			1	ID/LVC						
2	υπόψη			1							
3	την										
4	πολύ										
5	μεγάλη										
6	περίοδο										
7	ωρίμανσης										
8	των										
9	ελληνικών										
10	ομολόγων										
11	και										
12	το										
13	πολύ										
14	χαμηλό										
15	κόστος										
16	εξυπηρέτησης										
17	τους										
18	η										
19	S	nsp									
20	&	nsp									
21	P										
22	κρίνει										
23	ότι										
24	το										
25	ελληνικό										
26	δημόσιο										
27	χρέος										
28	είναι										
29	διαχειρίσιμο	nsp									
30	.										
											
1	Μάλιστα										
2	η										
3	Νέα										
4	Δημοκρατία										
5	με										
6	αφορμή										
7	το										
8	ζήτημα										
9	των										
10	μετακλητών										
11	υπαλλήλων										
12	κατηγορεί										
13	την										
14	κυβέρνηση										
15	για										
16	«	nsp									
17	έφοδο										
18	κατάληψης										
19	του										
20	κράτους	nsp									
21	»										
22	με										
23	το										
24	Μαξίμου										
25	να										
26	περνά			1	LVC						
27	στην			1							
28	αντεπίθεση			1							
29	λέγοντας										
30	ότι										
31	η										
32	ΝΔ										
33	είναι										
34	αυτή										
35	που										
36	«	nsp									
37	επιχείρησε										
38	να										
39	επιβάλει										
40	τους										
41	κολλητούς										
42	ως										
43	ισόβιους										
44	διοικητές										
45	στο										
46	Δημόσιο	nsp									
47	,										
48	ένα										
49	μήνα										
50	πριν										
51	τις										
52	εκλογές										
53	του										
54	Ιανουαρίου	nsp									
55	»	nsp									
56	.										
											
1	Με										
2	μια										
3	μακροσκελή										
4	απάντηση	nsp									
5	,										
6	λύνει			1	ID						
7	τη			1							
8	σιωπή			1							
9	του			1							
10	ο										
11	μέχρι										
12	τις										
13	30	nsp									
14	/	nsp									
15	12										
16	πρόεδρος										
17	του										
18	Ελληνικού										
19	Φεστιβάλ										
20	Γιώργος										
21	Λούκος										
22	και										
23	απευθύνει										
24	ανοικτή										
25	επιστολή										
26	στον										
27	υπουργό										
28	Πολιτισμού	nsp									
29	,										
30	Αριστείδη										
31	Μπαλτά	nsp									
32	.										
											
1	Με										
2	νέες										
3	απειλές										
4	για										
5	την										
6	οικονομική										
7	ανάπτυξη										
8	να										
9	έχουν			1	LVC						
10	κάνει			1							
11	την			1							
12	εμφάνισή			1							
13	τους			1							
14	και										
15	τη										
